campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Computer & Info,128274,8-Month,1,128274
Dearborn,LEO Lecturer IV,Dbn Col of Bus-Mgmt Studies,86022.72,8-Month,1,86022.72
Dearborn,LEO Lecturer III,Dbn-Language Culture Communctn,50000,8-Month,1,50000
Dearborn,LEO Lecturer II,Dbn Col of Eng-Indust & Sys En,45626.18,8-Month,0.25,11406.56
Dearborn,LEO Lecturer II,Dbn CEHHS Health & Human Serv,43916.1,8-Month,0.37,16468.54
Dearborn,ASST PROFESSOR,Dbn Col of Bus-Acctg & Finance,137758,8-Month,1,137758
Dearborn,PROFESSOR,Dbn CEHHS Education-OPERATIONS,91112,8-Month,1,91112
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,80528,8-Month,1,80528
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Indust & Sys En,108585,8-Month,1,108585
Dearborn,ASSOC PROFESSOR,Dbn Col of Eng-Electric & Comp,112871,8-Month,1,112871
Dearborn,LEO Adjunct Assoc Professor,Dbn Coll of Eng-Mechanical Eng,66146.32,8-Month,0.6,39687.79
Dearborn,ASST PROFESSOR,Dbn Coll of Eng-Mechanical Eng,97094,8-Month,1,97094
Dearborn,LEO Lecturer II,Dbn CASL-Criminal Justice,43916.1,8-Month,0.5,21958.08
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,45642.48,8-Month,0.25,11410.64
Dearborn,LEO Lecturer III,"Dbn-Literature,Philosophy&Arts",56181.6,8-Month,1,56181.6
Dearborn,LEO Lecturer I,"Dbn-Literature,Philosophy&Arts",41820.06,8-Month,0.75,31365.04
Dearborn,ASSOC PROFESSOR,Dbn-Language Culture Communctn,79708,8-Month,1,79708
Dearborn,PROFESSOR,Dbn Col of Bus-Mgmt Studies,187237,8-Month,1,187237
Dearborn,LEO Lecturer II,Dbn CASL-Psychology,46899.44,8-Month,0.75,35174.58
Dearborn,LEO Lecturer III,Dbn Col of Eng-Indust & Sys En,84357.72,8-Month,1,84357.72
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Acctg & Finance,161448,8-Month,1,161448
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Acctg & Finance,155612,8-Month,1,155612
