campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,leo adjunct lecturer,LSA UG: Curriculum Support,67636.64,8-Month,0.11,7423.28
Ann Arbor,leo lecturer ii,Stamps School of Art & Design,61178.46,8-Month,1,60491.04
Ann Arbor,professor,Emergency Medicine UM Adult,249032,12-Month,1,39835.16
Ann Arbor,asst professor,LSA Economics,155500,9-Month,1,155500
Ann Arbor,professor,LSA Chemistry,118919,9-Month,1,118919
Ann Arbor,leo adjunct lecturer,Program in the Environment,53560,8-Month,0.34,18005.76
Ann Arbor,professor emeritus/a,GSA - Administration (GSA/ADM),183300,12-Month,0.33,0
Ann Arbor,professor,School of Nursing,257655.31,12-Month,0.5,0
Ann Arbor,assoc professor,Mechanical Engineering,126000,9-Month,1,75600
Ann Arbor,professor,LSA Mathematics,182855,9-Month,1,182855
Ann Arbor,assoc professor,LSA Judaic Studies,98040,9-Month,0.5,0
Ann Arbor,assoc professor,LSA Middle East Studies,98040,9-Month,0.5,49020
Ann Arbor,leo intermittent lecturer,SMTD Department of Dance,52530,8-Month,0.25,12984.96
Ann Arbor,professor,LSA Mathematics,182797,9-Month,0.5,86828.58
Ann Arbor,professor,SOE-Educational Studies,207275.78,9-Month,0.5,88092.21
Ann Arbor,assoc professor,Climate and Space Sciences Eng,125589,9-Month,1,106750.65
Ann Arbor,professor,SOE-CSHPE,200000,9-Month,1,190000
Ann Arbor,leo lecturer iv,School of Kinesiology,95403.89,9-Month,1,95403.89
Ann Arbor,leo lecturer iii,Sch for Environ and Sustain,83404.25,9-Month,1,83404.25
Ann Arbor,assoc professor,Otorhinolaryngology Department,220000,12-Month,1,0
Ann Arbor,professor,Int Med-Cardiology,225000,12-Month,1,0
Ann Arbor,professor,Ross School of Business,312000,9-Month,1,135501.6
Ann Arbor,adjunct clinical professor,Climate and Space Sciences Eng,303500,12-Month,0.2,60700
Ann Arbor,professor,Environmental Health Sciences,164373,9-Month,1,43083.81
